name,cgpa
rohith,9.000000
naveen,9.000000
zxv,9.040000
zzx,9.090000
zyt,9.370000
zyj,9.460000
zzw,9.490000
zyw,9.490000
zvb,9.060000
zvq,9.080000
zos,9.090000
zrn,9.100000
zmw,9.100000
zxk,9.110000
zwo,9.110000
zue,9.120000
zxh,9.130000
zwl,9.130000
zml,9.130000
zou,9.140000
znw,9.140000
zsp,9.160000
zvj,9.170000
zrf,9.200000
zom,9.200000
zwr,9.210000
zqg,9.220000
zwq,9.240000
zro,9.240000
zwn,9.250000
zst,9.250000
zpd,9.260000
zwy,9.290000
zpb,9.300000
zvh,9.320000
zts,9.360000
znx,9.400000
zmk,9.420000
zxd,9.500000
zdk,9.010000
zhy,9.030000
zaa,9.060000
yzk,9.060000
zhs,9.070000
zka,9.100000
zhg,9.100000
zbu,9.130000
zdf,9.140000
zcd,9.160000
zbt,9.180000
zdh,9.200000
zda,9.200000
zbl,9.210000
yzl,9.210000
zdm,9.220000
zdv,9.230000
zci,9.230000
zhd,9.240000
zdd,9.260000
zcv,9.330000
zmi,9.350000
zgv,9.350000
zcb,9.360000
zlz,9.380000
zcw,9.430000
zam,9.440000
zjz,9.460000
zlp,9.480000
zdx,9.490000
yxx,9.030000
yxm,9.030000
yur,9.030000
yyu,9.080000
ypl,9.080000
ytc,9.090000
yxf,9.100000
yow,9.120000
ytn,9.170000
yym,9.240000
ypi,9.240000
yxu,9.260000
ytf,9.260000
ysb,9.260000
ywz,9.280000
you,9.320000
yuh,9.330000
yxt,9.340000
ywt,9.350000
ywl,9.350000
yyl,9.360000
ytb,9.360000
yoz,9.390000
ywo,9.410000
yti,9.440000
yuu,9.460000
yut,9.480000
ytg,9.490000
yze,9.500000
ygv,9.010000
ygj,9.010000
yjm,9.030000
ynt,9.040000
yhg,9.070000
ykq,9.090000
yht,9.120000
ydd,9.120000
yhv,9.180000
yfm,9.190000
yit,9.220000
yil,9.230000
yeq,9.230000
ydh,9.240000
yfg,9.260000
yoj,9.270000
ych,9.290000
yfn,9.320000
yfj,9.360000
ybq,9.390000
yec,9.420000
ydb,9.430000
yij,9.450000
yiz,9.460000
ygi,9.460000
yfx,9.460000
ynd,9.470000
ymf,9.490000
xvp,9.010000
xwc,9.030000
xuy,9.030000
xud,9.040000
xzk,9.070000
xwx,9.070000
xve,9.070000
xrh,9.100000
xwt,9.120000
xwo,9.130000
xvh,9.130000
xye,9.180000
xta,9.180000
xpx,9.180000
xyg,9.200000
xxo,9.210000
xwy,9.210000
yak,9.250000
xxv,9.260000
xux,9.260000
xtt,9.270000
xxt,9.280000
xqw,9.320000
xvz,9.350000
yaz,9.360000
xqi,9.370000
xxe,9.380000
xpy,9.380000
xze,9.410000
xul,9.430000
xqs,9.440000
xxb,9.480000
xnr,9.030000
xit,9.030000
xee,9.030000
xml,9.040000
xkk,9.040000
xhb,9.040000
xng,9.050000
xpq,9.060000
xhu,9.060000
xjl,9.070000
xpl,9.090000
xkl,9.090000
xla,9.100000
xnv,9.110000
xmd,9.120000
xep,9.150000
xhj,9.160000
xgd,9.160000
xoy,9.180000
xhv,9.230000
xed,9.230000
xlz,9.320000
xmj,9.350000
xnn,9.380000
xhc,9.380000
xfq,9.380000
xlj,9.400000
xkz,9.450000
xhi,9.450000
xkx,9.490000
xfm,9.490000
wvy,9.020000
wwu,9.030000
xbh,9.040000
wxw,9.040000
wwx,9.040000
wys,9.050000
xdm,9.060000
xea,9.070000
wuo,9.070000
wzl,9.090000
wyp,9.090000
wxv,9.130000
wqy,9.150000
wtp,9.160000
wsr,9.180000
wtd,9.260000
xcg,9.270000
wsc,9.290000
wrh,9.290000
xcb,9.320000
wvm,9.340000
wzs,9.370000
xaa,9.380000
wso,9.400000
wym,9.410000
wwh,9.410000
xco,9.450000
wrj,9.460000
wqz,9.460000
xcu,9.490000
wuf,9.500000
wqi,9.020000
wqk,9.030000
wpu,9.030000
wnv,9.030000
wmc,9.050000
wqh,9.070000
wox,9.070000
wis,9.070000
wmy,9.080000
wmt,9.100000
woc,9.140000
wob,9.150000
woo,9.200000
wnt,9.200000
wnd,9.230000
wnb,9.260000
wls,9.270000
wns,9.300000
wla,9.310000
wmi,9.320000
wll,9.320000
wit,9.320000
wlh,9.360000
wny,9.370000
wjm,9.410000
wiy,9.410000
wkc,9.470000
wmb,9.490000
wda,9.040000
wid,9.050000
wim,9.060000
wdf,9.080000
vxm,9.090000
vxz,9.110000
wie,9.150000
wgy,9.160000
wcy,9.190000
wbb,9.190000
vyi,9.190000
wfi,9.200000
wgq,9.220000
vwi,9.220000
wcn,9.230000
vvm,9.230000
vzm,9.240000
vyb,9.280000
vxk,9.330000
wbs,9.340000
vvs,9.360000
vwx,9.370000
wdr,9.380000
vww,9.390000
wao,9.420000
vyn,9.420000
wep,9.450000
wfm,9.460000
wah,9.500000
vsy,9.010000
vum,9.020000
vrk,9.030000
vmt,9.030000
vle,9.050000
vtx,9.070000
vkc,9.100000
vuq,9.140000
vun,9.160000
vve,9.170000
voi,9.170000
vra,9.180000
von,9.210000
vqh,9.220000
vqv,9.230000
vuu,9.260000
vmx,9.290000
vsj,9.320000
vsh,9.330000
vny,9.360000
vmm,9.360000
vmj,9.360000
vni,9.370000
vqt,9.380000
vll,9.420000
vvj,9.450000
vth,9.450000
voe,9.490000
vup,9.500000
vfv,9.020000
vfo,9.020000
uzz,9.030000
veb,9.080000
veg,9.130000
vgr,9.170000
vir,9.190000
vdw,9.210000
uzd,9.210000
vdu,9.230000
uzt,9.230000
vjy,9.240000
vew,9.260000
vax,9.260000
vdx,9.290000
vht,9.300000
vjv,9.330000
vjd,9.330000
vcq,9.340000
uzc,9.350000
vhc,9.360000
vjj,9.370000
vbx,9.400000
